Time,Position+AF8-x,Position+AF8-y,Metrics
10018.5239419937,+AC0-3,9,0
10020.5189640522,+AC0-2,9,0
10025.5300431252,+AC0-1,9,0
10030.5335130692,0,9,0
10033.5330169201,0,10,0
10037.5459051132,1,10,0
10041.5394620895,2,10,0
10045.5620200634,3,10,0
10049.5572109222,3,11,0
10050.5960681438,4,11,0
10054.5617871284,5,11,0
10058.570207119,6,11,0
10062.5832021236,7,11,0
10064.5781071186,7,12,0
10067.5848281384,8,12,0
10072.5904300213,9,12,0
10076.5975410938,10,12,0
10080.6137650013,11,13,0
10103.6594040394,11,12,0
10105.6442730427,12,12,0
10106.6489601135,12,11,0
10110.6371340752,12,10,0
10132.7148840427,11,10,0
10135.7054829597,10,9,0
10139.7324769497,9,9,0
10144.7372140884,8,9,0
10149.7842109203,7,9,0
10152.7410569191,6,9,0
10156.7671790123,5,9,0
10160.7550990582,4,9,0
10165.7703621387,3,8,0
10170.7651441097,2,8,0
10174.7706649303,1,8,0
10179.78074193,0,8,0
10187.7973790169,+AC0-1,8,0
10191.8491790295,+AC0-2,8,0
10197.8278410435,+AC0-3,8,0
10198.8118040562,+AC0-3,7,0
10202.8052899838,+AC0-4,7,0
10206.8119800091,+AC0-5,7,0
10211.8320159912,+AC0-6,7,0
10215.8431351185,+AC0-7,7,0
10220.8556480408,+AC0-8,7,0
10224.8631291389,+AC0-9,7,0
10229.8604929447,+AC0-10,7,0
10231.8655669689,+AC0-10,6,0
10233.8790860176,+AC0-11,6,0
10237.929377079,+AC0-12,6,0
10241.8683071136,+AC0-13,6,0
10246.8914120197,+AC0-14,6,0
10272.9527740479,+AC0-14,5,0
10276.957942009,+AC0-14,4,0
10277.9596199989,+AC0-13,4,0
10280.9619050026,+AC0-13,3,0
10300.9840250015,+AC0-12,4,0
10304.9946370125,+AC0-11,4,0
10308.9999489784,+AC0-10,4,0
10310.0126459599,+AC0-10,5,0
10312.0218839645,+AC0-9,5,0
10317.0169429779,+AC0-8,5,0
10320.058054924,+AC0-8,6,0
10321.0588519573,+AC0-7,6,0
10325.0373520851,+AC0-6,6,0
10330.0556249619,+AC0-5,6,0
10331.0474889278,+AC0-5,7,0
10334.0775611401,+AC0-4,7,0
10338.0799260139,+AC0-3,7,0
10342.1022150517,+AC0-3,8,0
10343.0859720707,+AC0-2,8,0
10346.0820999146,+AC0-1,8,0
10351.100990057,0,8,0
10352.08467412,0,9,0
10359.121505022,1,9,0
10363.0995049477,2,10,0
10367.1273019314,3,10,0
10372.1364719868,4,10,0
10373.1384580135,4,11,0
10376.115694046,5,11,0
10381.1482589245,6,11,0
10384.1412279606,6,12,0
10385.1421589851,7,12,0
10389.157572031,8,12,0
10394.1820940971,9,12,0
10395.198923111,9,13,0
10398.1844060421,10,13,0
10402.1825959682,11,13,0
10426.2209401131,12,13,0
10427.2176680565,12,12,0
10430.2275879383,12,11,0
10452.3461821079,12,10,0
10453.3407349587,11,10,0
10456.357656002,10,10,0
10460.3615679741,9,10,0
10464.3695089817,8,10,0
10468.3825891018,7,10,0
10472.3667800426,6,10,0
10477.4062299728,5,10,0
10478.4008600712,5,9,0
10480.4105651379,4,9,0
10485.4041600227,3,9,0
10488.4033489227,2,9,0
10492.4147720337,1,9,0
10497.4261879921,0,9,0
10506.4458050728,+AC0-1,9,0
10510.4461159706,+AC0-1,8,0
10511.4649169445,+AC0-2,8,0
10516.4958260059,+AC0-3,8,0
10520.4906561375,+AC0-4,8,0
10525.4870660305,+AC0-5,8,0
10529.5194730759,+AC0-6,8,0
10533.5174930096,+AC0-7,8,0
10537.5100960732,+AC0-8,8,0
10542.5156600475,+AC0-9,8,0
10544.5211889744,+AC0-9,7,0
10546.5169279575,+AC0-10,7,0
10550.5198550224,+AC0-11,7,0
10554.5152420998,+AC0-12,7,0
10560.5588231087,+AC0-13,7,0
10563.5373020172,+AC0-14,7,0
10568.538697958,+AC0-15,7,0
10591.586122036,+AC0-15,6,0
10595.5789849758,+AC0-15,5,0
10596.5973489285,+AC0-14,5,0
10599.6012649536,+AC0-14,4,0
10620.6305019856,+AC0-13,4,0
10624.6408650875,+AC0-12,4,0
10625.624956131,+AC0-12,5,0
10627.6401929855,+AC0-11,5,0
10631.643155098,+AC0-10,5,0
10635.6715240479,+AC0-9,5,0
10637.6463971138,+AC0-9,6,0
10640.6491451263,+AC0-8,6,0
10644.6803741455,+AC0-7,6,0
10648.6933379173,+AC0-6,6,0
10652.6746380329,+AC0-6,7,0
10653.6823420525,+AC0-5,7,0
10658.6966679096,+AC0-4,7,0
10662.6858789921,+AC0-3,7,0
10666.7124409676,+AC0-3,8,0
10667.7185730934,+AC0-2,8,0
10671.7083930969,+AC0-1,8,0
10676.7078340054,0,8,0
10682.709800005,0,9,0
10685.7427210808,1,9,0
10690.7679309845,2,9,0
10695.7583069801,3,9,0
10696.7477879524,3,10,0
10698.7561690807,4,10,0
